Time,TranPPV,TranFreq,VertPPV,VertFreq,LongPPV,LongFreq,GeophonePVS
4/24/2018 22:45,0.003,2.2,0.003,14.2,0.003,8.3,0.004
4/24/2018 22:50,0.003,3,0.002,>100,0.002,11.6,0.003
4/24/2018 22:55,0.003,3,0.002,85.3,0.002,36.6,0.004
4/24/2018 23:00,0.003,2.7,0.002,56.9,0.003,16,0.004
4/24/2018 23:05,0.003,2,0.002,46.5,0.002,>100,0.004
4/24/2018 23:10,0.003,1.3,0.002,85.3,0.003,22.3,0.004
4/24/2018 23:15,0.003,1.9,0.002,73.1,0.003,26.9,0.004
4/24/2018 23:20,0.005,>100,0.003,10.7,0.005,>100,0.007
4/24/2018 23:25,0.004,1.6,0.003,85.3,0.004,>100,0.006
4/24/2018 23:30,0.004,<1,0.002,85.3,0.002,51.2,0.004
4/24/2018 23:35,0.004,<1,0.002,>100,0.003,25.6,0.004
4/24/2018 23:40,0.003,1.7,0.003,15.1,0.003,7.3,0.004
4/24/2018 23:45,0.004,1.2,0.002,>100,0.002,34.1,0.004
4/24/2018 23:50,0.003,4.7,0.002,36.6,0.002,21.3,0.004
4/24/2018 23:55,0.003,1.9,0.002,56.9,0.003,64,0.004
4/25/2018 0:00,0.003,1.4,0.002,39.4,0.003,8,0.004
4/25/2018 0:05,0.003,<1,0.003,16.5,0.003,51.2,0.004
4/25/2018 0:10,0.004,1.1,0.002,>100,0.003,5,0.004
4/25/2018 0:15,0.004,5,0.002,>100,0.003,9.7,0.004
4/25/2018 0:20,0.004,1.6,0.002,>100,0.003,6,0.004
4/25/2018 0:25,0.003,<1,0.003,8,0.003,24.4,0.004
4/25/2018 0:30,0.004,<1,0.002,21.3,0.003,12.5,0.004
4/25/2018 0:35,0.003,1.6,0.002,85.3,0.003,42.7,0.004
4/25/2018 0:40,0.003,<1,0.002,56.9,0.003,32,0.004
4/25/2018 0:45,0.003,1.4,0.002,85.3,0.002,25.6,0.004
4/25/2018 0:50,0.003,<1,0.002,>100,0.003,5.4,0.004
4/25/2018 0:55,0.003,<1,0.002,85.3,0.002,34.1,0.004
4/25/2018 1:00,0.003,1.2,0.003,9.3,0.003,5.4,0.004
4/25/2018 1:05,0.003,<1,0.002,73.1,0.003,14.6,0.004
